번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명,Unnamed: 29
11,대규모점포,08_25_01_P,5710000,2019571018307500002,20190926,,1,영업/정상,5,영업개시전,,,,,043-000-0000,15841.0,,충청북도 청주시 청원구 내덕동 201번지 1호,충청북도 청주시 청원구 상당로 314 (내덕동),28501.0,원더아리아,20190926090237,I,2019-09-28 02:22:39.0,쇼핑센터,243762.803672115,350640.306254882,대규모점포,
12,대규모점포,08_25_01_P,4210000,2019421021507500001,20190711,,1,영업/정상,5,영업개시전,,,,,033-522-0630,258.0,,"강원도 동해시 동회동 442번지 대동,현대아파트","강원도 동해시 청운1길 29 (동회동, 대동,현대아파트)",25807.0,노브랜드 동해남부재래시장점,20190711120937,I,2019-07-13 02:21:44.0,구분없음,386177.814049483,444870.370953969,준대규모점포,
13,대규모점포,08_25_01_P,3830000,2022383028807500001,20220408,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,214.87,,경기도 안양시 동안구 비산동 515-2 평촌자이아이파크 상가2동 부출입구 1층 101~103호,,,GS THE FRESH 안양비산점,20220411094156,I,2022-04-13 00:22:33.0,구분없음,,,준대규모점포,
14,대규모점포,08_25_01_P,3070000,2022307028607500002,20220418,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,186.6,,서울특별시 성북구 길음동 508-16,"서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)",2730.0,GS THE FRESH 성북클라시아점,20220418141602,I,2022-04-20 00:22:33.0,구분없음,202226.378526398,456194.352420546,준대규모점포,
15,대규모점포,08_25_01_P,3540000,2022354016107500001,20220415,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,210.06,,인천광역시 부평구 십정동 289-8,"인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 B동 1층 101~104호 (십정동)",21443.0,GS THE FRESH 부평열우물점,20220415131731,I,2022-04-17 00:22:33.0,대형마트,173203.244129782,441511.67815385,준대규모점포,
16,대규모점포,08_25_01_P,3540000,2022354016107500002,20220415,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,338.98,,인천광역시 부평구 십정동 289-8,"인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 E동 1층 101호 (십정동)",21443.0,GS THE FRESH 부평더샵점,20220415131830,I,2022-04-17 00:22:33.0,대형마트,173203.244129782,441511.67815385,준대규모점포,
17,대규모점포,08_25_01_P,3260000,1998326004907500001,19980508,,1,영업/정상,5,영업개시전,,20070806.0,20151231.0,,051 2481673,0.0,,부산광역시 서구 토성동1가 25번지 1호,,,토성상가,20200428215809,U,2020-04-30 02:40:00.0,시장,384479.160908971,179674.849130869,준대규모점포,
18,대규모점포,08_25_01_P,4180000,2019418034907500001,20190820,,1,영업/정상,5,영업개시전,,,,,033258-8121,282.0,,강원도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부,"강원도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)",24358.0,하나로마트 강원지역본부점,20200427192252,U,2020-04-29 02:40:00.0,구분없음,263591.901797558,486256.984750418,준대규모점포,
19,대규모점포,08_25_01_P,4180000,2019418034907500002,20190820,,1,영업/정상,5,영업개시전,,,,,033)258-8114,212.0,,강원도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부,"강원도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)",24358.0,하나로마트 강원지역본부점,20190820134203,I,2019-08-22 02:22:07.0,구분없음,263591.901797558,486256.984750418,준대규모점포,
20,대규모점포,08_25_01_P,3530000,2019353017907500002,20191010,,1,영업/정상,5,영업개시전,,,,,023809461,510.0,,인천광역시 남동구 만수동 1082번지 창대장터상가,"인천광역시 남동구 인주대로888번길 27, 창대장터상가 1동 b01~b06호 (만수동)",21591.0,노브랜드인천장승백이시장점,20191010173912,I,2019-10-12 00:22:47.0,구분없음,176533.985015893,438341.641936655,준대규모점포,
21,대규모점포,08_25_01_P,3740000,2022374039007500001,20220222,,1,영업/정상,5,영업개시전,,,,,02-2015-8524,5926.48,,경기도 수원시 권선구 서둔동 296-124,경기도 수원시 권선구 세화로134번길 31(서둔동),16621.0,홈씨씨 수원점,20220303090547,U,2022-03-05 02:40:00.0,전문점,199672.086338054,418258.297963828,대규모점포,
22,대규모점포,08_25_01_P,4600000,2022460018607500001,20220217,,1,영업/정상,5,영업개시전,,,,,,1314.88,,충청남도 홍성군 홍성읍 옥암리 1064,충청남도 홍성군 홍성읍 내포로 125,32247.0,이마트에브리데이 홍성중앙점,20220217165834,I,2022-02-19 00:22:37.0,그 밖의 대규모점포,169184.703661848,343846.132796022,준대규모점포,
23,대규모점포,08_25_01_P,5670000,2022567057407500001,20220406,,1,영업/정상,5,영업개시전,,,,,-,1219.7,,경상남도 창원시 진해구 경화동 1174-3 외 4필지,,,탑마트 진해경화점,20220406173241,I,2022-04-08 00:22:34.0,그 밖의 대규모점포,353241.977997001,185120.55817638,준대규모점포,
24,대규모점포,08_25_01_P,3160000,2022316015907500001,20220318,,1,영업/정상,5,영업개시전,,,,,02-528-0450,40883.22,,서울특별시 구로구 고척동 100-7,,,고척아이파크쇼핑센터,20220318180047,I,2022-03-20 00:22:35.0,쇼핑센터,187477.579440706,444045.294921843,대규모점포,
25,대규모점포,08_25_01_P,5090000,2012509007907500002,20120521,,1,영업/정상,5,영업개시전,,,,,054-636-9550,492.94,750010.0,경상북도 영주시 영주동 549번지 4호,경상북도 영주시 구성로 350 (영주동),,영주농협하나로마트중앙점,20220627155124,U,2022-06-29 02:40:00.0,구분없음,344754.435402154,370337.910470637,준대규모점포,
26,대규모점포,08_25_01_P,3530000,2007353007007500001,20070321,,1,영업/정상,5,영업개시전,,,,,032 450 3903,35636.0,,인천광역시 남동구 구월동 1455호,인천광역시 남동구 예술로 148 (구월동),405792.0,엘리오스구월,20211125091941,U,2021-11-27 02:40:00.0,쇼핑센터,173523.274957491,438366.029400914,대규모점포,
27,대규모점포,08_25_01_P,3940000,2016394029807500001,20160425,,1,영업/정상,5,영업개시전,,,,,070-7896-7801,129225.0,,경기도 고양시 덕양구 동산동 370번지,"370, 동산동동",412090.0,스타필드 고양,20200217163824,U,2020-02-19 02:40:00.0,복합쇼핑몰,190645.314309928,460528.947974088,대규모점포,
28,대규모점포,08_25_01_P,3940000,2016394029807500002,20160826,,1,영업/정상,5,영업개시전,,,,,02-3438-9480,42599.44,,경기도 고양시 일산동구 백석동 1237번지,"경기도 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)",10450.0,일산 벨라씨타(Bella Citta),20200217163855,U,2020-02-19 02:40:00.0,쇼핑센터,181637.189249099,460029.013400211,대규모점포,
29,대규모점포,08_25_01_P,3940000,2017394029807500001,20170825,,1,영업/정상,5,영업개시전,,,,,,16505.82,,경기도 고양시 일산서구 대화동 1050번지 185호,경기도 고양시 일산서구 주엽로 80 (대화동),10391.0,고양 일산 호수공원 가로수길,20170825170037,I,2018-08-31 23:59:59.0,그 밖의 대규모점포,178443.772452423,462653.992741763,대규모점포,
30,대규모점포,08_25_01_P,3780000,2016378027807500002,20160321,,1,영업/정상,5,영업개시전,,,,,02-380-9396,3692.0,,경기도 성남시 분당구 백현동 531번지,"경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)",13530.0,일렉트로마트 판교점,20200727154811,U,2020-07-29 02:40:00.0,전문점,209511.303885931,432604.40297927,대규모점포,
31,대규모점포,08_25_01_P,5690000,2020569029207500001,20200204,,1,영업/정상,5,영업개시전,,,,,044-860-8500,13324.75,,세종특별자치시 어진동 510번지 엠브릿지,"세종특별자치시 도움3로 19, 외 1필지 엠브릿지 (어진동)",30116.0,엠브릿지,20200214160415,U,2020-02-16 02:40:00.0,그 밖의 대규모점포,223042.626330734,333554.40787071,대규모점포,
32,대규모점포,08_25_01_P,5540000,2012554012307500001,20120413,,1,영업/정상,5,영업개시전,,,,,031-797-6514,5942.38,464040.0,"경기도 광주시 삼동 443번지 외 3필지(440,441,442-1)",경기도 광주시 순암로 535 (삼동),464040.0,TOP PRICE WHOLESALE,20161013102514,I,2018-08-31 23:59:59.0,대형마트,217232.530606995,434341.475496054,대규모점포,
33,대규모점포,08_25_01_P,3130000,2018313020107500002,20180813,,1,영업/정상,5,영업개시전,,,,,02-2179-5021,9747.1,,서울특별시 마포구 동교동 190번지 1호,서울특별시 마포구 와우산로35길 50-4 (동교동),4052.0,홍대복합역사 상업시설,20180817093316,I,2018-08-31 23:59:59.0,쇼핑센터,193285.549735897,450808.571641119,대규모점포,
34,대규모점포,08_25_01_P,5530000,2017553037107500001,20171213,,1,영업/정상,5,영업개시전,,,,,031-378-5331,34780.0,,경기도 화성시 동탄면 방교리 779번지 3호,"경기도 화성시 동탄면 동탄기흥로257번가길 19, 201호",18487.0,라스플로레스,20171214111021,I,2020-08-05 00:23:26.0,복합쇼핑몰,208124.29433588,408882.959566073,대규모점포,
35,대규모점포,08_25_01_P,5530000,2019553038907500001,20191111,,1,영업/정상,5,영업개시전,,,,,1588-9707,24653.29,,경기도 화성시 송동 681번지 535호,,,레이크꼬모,20191111104120,I,2020-08-05 00:23:26.0,그 밖의 대규모점포,,,대규모점포,
36,대규모점포,08_25_01_P,4200000,2020420032207500001,20200408,,1,영업/정상,5,영업개시전,,,,,02-380-9461,261.84,,강원도 강릉시 주문진읍 주문리 312번지 91호 주문진수산시장,"강원도 강릉시 주문진읍 시장길 38, 주문진수산시장 1층",25413.0,노브랜드 주문진수산시장점,20200410085021,I,2020-04-12 00:23:22.0,그 밖의 대규모점포,360718.233934395,489191.326440786,준대규모점포,
37,대규모점포,08_25_01_P,3140000,2020314016707500002,20200529,,1,영업/정상,5,영업개시전,,,,,0226433209,2734.89,,서울특별시 양천구 목동 966번지 목동에버하임,"서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)",7948.0,목동에버하임,20200529092009,I,2020-05-31 00:23:29.0,그 밖의 대규모점포,188502.886822432,449377.63880433,대규모점포,
38,대규모점포,08_25_01_P,4010000,2020401031707500001,20200617,,1,영업/정상,5,영업개시전,,,,,,27134.94,,경기도 시흥시 능곡동 235-1 시흥 플랑드르,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 (능곡동)",14999.0,시흥플랑드르,20211028145831,U,2021-10-30 02:40:00.0,그 밖의 대규모점포,182864.742763587,429902.071373508,대규모점포,
39,대규모점포,08_25_01_P,4050000,2022405051807500001,20220325,,1,영업/정상,5,영업개시전,,,,,,4099.6,,경기도 용인시 처인구 양지면 양지리 112,경기도 용인시 처인구 양지면 죽양대로 2309,17158.0,세영산업주식회사,20221104112528,U,2022-11-06 02:40:00.0,전문점,226267.419758712,414698.939838046,대규모점포,
40,대규모점포,08_25_01_P,4640000,2021464047907500003,20211129,,1,영업/정상,5,영업개시전,,,,,063-271-7001,23194.32,,전라북도 전주시 덕진구 송천동2가 488-3,전라북도 전주시 덕진구 송천중앙로 225(송천동2가),54827.0,파인트리몰,20211201075634,I,2021-12-02 00:22:43.0,그 밖의 대규모점포,210850.269806142,262991.692422289,대규모점포,
41,대규모점포,08_25_01_P,5130000,2021513018007500001,20211025,,1,영업/정상,5,영업개시전,,,,,02-380-5930,662.15,,경상북도 경산시 하양읍 양지리 262,경상북도 경산시 하양읍 서사도리4로 8,38699.0,(주)이마트에브리데이 경산무학점,20211208093139,U,2021-12-10 02:40:00.0,대형마트,363181.924592778,270283.834577387,준대규모점포,
42,대규모점포,08_25_01_P,5540000,2021554025007500001,20211103,,1,영업/정상,5,영업개시전,,,,,031-767-8324,11697.53,,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6(경안동),12760.0,광주 금호 리첸시아 센트럴 스퀘어,20211231134840,U,2022-01-02 02:40:00.0,그 밖의 대규모점포,222618.188936667,434045.266636268,대규모점포,
43,대규모점포,08_25_01_P,3060000,2021306017507500001,20211125,,1,영업/정상,5,영업개시전,,,,,02-2290-5704,1150.47,,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",2024.0,롯데프레시앤델리 봉화산역점,20211125152000,I,2021-11-27 00:22:44.0,구분없음,208112.860200669,457113.638411288,준대규모점포,
44,대규모점포,08_25_01_P,3260000,2018326009707500001,20180911,,1,영업/정상,5,영업개시전,,,,,051-241-3006,5025.59,,부산광역시 서구 토성동1가 25번지 1호 경동 리인,"부산광역시 서구 보수대로 27 (토성동1가, 경동 리인)",49247.0,경동타워 쇼핑,20220106102205,U,2022-01-08 02:40:00.0,그 밖의 대규모점포,384479.160908971,179674.849130869,대규모점포,
45,대규모점포,08_25_01_P,3230000,2020323026107500003,20200724,,1,영업/정상,5,영업개시전,,,,20200820.0,,182.0,,서울특별시 송파구 가락동 191-5,서울특별시 송파구 동남로20길 24 (가락동),5783.0,롯데프레시송파가락가맹점,20200902171535,U,2020-09-04 02:40:00.0,구분없음,211822.100655974,443697.739713172,준대규모점포,
46,대규모점포,08_25_01_P,3510500,2020351057907500001,20200825,,1,영업/정상,5,영업개시전,,,,,032-866-0611,20973.16,,인천광역시 미추홀구 도화동 1002 더샵 인천스카이타워 2단지,"인천광역시 미추홀구 숙골로87번길 5 (도화동, 더샵 인천스카이타워 2단지)",22101.0,앨리웨이 인천,20210408105341,U,2021-04-10 02:40:00.0,그 밖의 대규모점포,170160.347561945,440825.360762333,대규모점포,
47,대규모점포,08_25_01_P,3530000,2020353017907500001,20200722,,1,영업/정상,5,영업개시전,,,,,032-446-7536,3706.0,,인천광역시 남동구 논현동 111-168 쌍둥이네,인천광역시 남동구 장도로 86-14 (논현동),21672.0,소래포구어시장,20200722165646,I,2020-07-24 00:23:15.0,그 밖의 대규모점포,176846.365143598,432902.368426872,대규모점포,
48,대규모점포,08_25_01_P,4640000,2021464047907500002,20210719,,1,영업/정상,5,영업개시전,,,,,063-253-1115,34776.8,,전라북도 전주시 덕진구 송천동2가 1329-1 로마네시티,"전라북도 전주시 덕진구 세병2길 10, 로마네시티 (송천동2가)",55149.0,로마네시티,20210719125731,I,2021-07-21 00:22:53.0,그 밖의 대규모점포,211179.421253138,263662.329079759,대규모점포,
49,대규모점포,08_25_01_P,3830000,2021383028807500002,20210929,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,296.15,,경기도 안양시 동안구 호계동 873 덕유파크,"경기도 안양시 동안구 경수대로 428, 덕유파크 1층 101~106, 126호 (호계동)",14126.0,GS THE FRESH 안양호계점,20210929164634,I,2021-10-01 00:22:48.0,구분없음,196609.75025329,428912.306681884,준대규모점포,
50,대규모점포,08_25_01_P,3740000,2021374039007500002,20210913,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,189.2,,경기도 수원시 장안구 정자동 111-20 화서역 파크푸르지오,"경기도 수원시 장안구 대평로 27, 107~109호 (정자동, 화서역 파크푸르지오)",16318.0,GS THE FRESH 수원화서점,20210914103407,I,2021-09-16 00:22:48.0,구분없음,199460.301398641,420871.789200422,준대규모점포,
51,대규모점포,08_25_01_P,5690000,2022569029207500001,20221122,,1,영업/정상,5,영업개시전,,,,,044-868-4981,250.0,,세종특별자치시 대평동 704 해들마을4단지,"세종특별자치시 대평로 34, 제1상가동 1층 105~111호 (대평동, 해들마을4단지)",30153.0,GS THE FRESH 세종해들마을점,20221122104314,I,2022-11-24 00:22:23.0,구분없음,225249.365054833,330129.16710604,준대규모점포,
52,대규모점포,08_25_01_P,3740000,2021374039007500001,20210525,,1,영업/정상,5,영업개시전,,,,,02-3404-4921,5855.48,,경기도 수원시 장안구 정자동 111-20,,,화서역 파크 푸르지오,20210525153618,I,2021-05-27 00:22:55.0,그 밖의 대규모점포,,,대규모점포,
53,대규모점포,08_25_01_P,3940000,2021394038807500001,20210702,,1,영업/정상,5,영업개시전,,,,,031-901-6611,15789.0,,경기도 고양시 덕양구 삼송동 293,"경기도 고양시 덕양구 삼송로 222, 고양삼송현대헤리엇 (삼송동)",10592.0,고양삼송현대헤리엇,20210702123329,I,2021-07-04 00:22:53.0,그 밖의 대규모점포,191025.010600686,461186.001629362,대규모점포,
54,대규모점포,08_25_01_P,5670000,2016567055907500001,20160906,,1,영업/정상,5,영업개시전,,,,,055-266-8005,6365.43,,경상남도 창원시 의창구 서상동 666번지 5호,경상남도 창원시 의창구 평산로207번길 4 (서상동),51370.0,킹덤시티,20180402114635,I,2021-07-02 00:23:01.0,그 밖의 대규모점포,347886.71935506,196863.11405067,대규모점포,
55,대규모점포,08_25_01_P,5670000,2020567056607500001,20200302,,1,영업/정상,5,영업개시전,,,,,051-510-4646,208.25,,경상남도 창원시 의창구 중동 785번지 창원중동유니시티2단지,"경상남도 창원시 의창구 중동로 33, 105~109호 (중동, 창원중동유니시티2단지)",51382.0,(주)지에스리테일 창원유니시티점,20200303113747,I,2021-07-02 00:23:01.0,대형마트,347988.104340174,196439.124667683,준대규모점포,
56,대규모점포,08_25_01_P,4080000,2017408020807500002,20171113,,1,영업/정상,5,영업개시전,,,,,02-520-9557,7987.27,,경기도 안성시 원곡면 지문리 33번지 1호,경기도 안성시 원곡면 만세로 1260,17553.0,주식회사 락앤락,20171113180300,I,2018-08-31 23:59:59.0,그 밖의 대규모점포,212484.621566391,393724.819512457,대규모점포,
57,대규모점포,08_25_01_P,4680000,2000468002007500001,19970219,,1,영업/정상,5,영업개시전,,,,,063 8407000,58.0,,전라북도 익산시 창인동1가 152번지 24호,전라북도 익산시 중앙로5길 17-4 (창인동1가),54593.0,익산송원백화점,20160309134919,I,2018-08-31 23:59:59.0,백화점,,,준대규모점포,
58,대규모점포,08_25_01_P,4020000,2022402022707500001,20221005,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,347.54,,경기도 군포시 산본동 1099-2 대림프라자 111호,"경기도 군포시 산본로 394, 대림프라자 1층 111호 (산본동)",15818.0,GS THE FRESH 산본대림본점,20221005135639,I,2022-10-07 00:22:25.0,구분없음,193696.742392293,429245.936418065,준대규모점포,
59,대규모점포,08_25_01_P,3140000,2022314016707500002,20221004,,1,영업/정상,5,영업개시전,,,,,02-3459-8016,254.4,,서울특별시 양천구 신정동 86-1,서울특별시 양천구 목동동로 196(신정동),8010.0,홈플러스 익스프레스 오목교점,20221005132545,I,2022-10-07 00:22:25.0,구분없음,188565.074701959,446750.881633578,준대규모점포,
60,대규모점포,08_25_01_P,4470000,2022447010207500001,20221025,,1,영업/정상,5,영업개시전,,,,,043-882-8780,994.44,,충청북도 음성군 금왕읍 무극리 124-2,충청북도 음성군 금왕읍 무극로 329,27628.0,롯데프레시 음성금왕점,20221026104621,I,2022-10-28 00:22:39.0,그 밖의 대규모점포,,,준대규모점포,
61,대규모점포,08_25_01_P,4640000,2021464047907500001,20210303,,1,영업/정상,5,영업개시전,,,,,,18192.9,,전라북도 전주시 덕진구 송천동2가 1329-2 전주 에코시티 이마트,"전라북도 전주시 덕진구 세병서로 9, 전주 에코시티 이마트 (송천동2가)",55149.0,전주에코시티 DK-mall,20211001082631,U,2021-10-03 02:40:00.0,쇼핑센터,211105.947625828,263591.430026264,대규모점포,
62,대규모점포,08_25_01_P,3900000,2021390026407500001,20210305,,1,영업/정상,5,영업개시전,,,,,031-780-8436,28985.96,,경기도 광명시 일직동 512-3,,,광명역세권택지개발지구복합단지판매시설D멀티플렉스AK PLAZA,20210306154110,I,2021-03-07 00:23:00.0,쇼핑센터,189541.850018502,435187.738812827,,
63,대규모점포,08_25_01_P,4490000,2021449037507500001,20210210,,1,영업/정상,5,영업개시전,,,,,070-4060-4128,8226.0,,충청남도 천안시 서북구 쌍용동 1367,충청남도 천안시 서북구 월봉로 95 (쌍용동),31171.0,맘마마트 천안점,20210210103459,I,2021-02-12 00:23:02.0,대형마트,210350.365980618,366539.832359485,대규모점포,
64,대규모점포,08_25_01_P,3460000,2021346017707500001,20210316,,1,영업/정상,5,영업개시전,,,,,053-751-8171,16113.81,,대구광역시 수성구 범어동 2262,대구광역시 수성구 범어천로 214 (범어동),42009.0,범어더리브스퀘어,20210316133514,I,2021-03-18 00:22:59.0,그 밖의 대규모점포,346156.236130463,263891.010201724,대규모점포,
65,대규모점포,08_25_01_P,5350000,2021535030107500001,20210414,,1,영업/정상,5,영업개시전,,,,,0226302671,13218.95,,경상남도 김해시 주촌면 천곡리 1522,,,코스트코 홀세일 김해점,20210419094016,U,2021-04-21 02:40:00.0,대형마트,367301.545291311,194456.567656158,대규모점포,
66,대규모점포,08_25_01_P,3220000,2021322024907500001,20210319,,1,영업/정상,5,영업개시전,,,,,-,7511.51,,서울특별시 강남구 역삼동 676 센터필드,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",6142.0,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),20210322194327,U,2021-03-24 02:40:00.0,그 밖의 대규모점포,203599.062771687,444556.062267296,대규모점포,
67,대규모점포,08_25_01_P,5350000,2021535030107500002,20210416,,1,영업/정상,5,영업개시전,,,,,0226302671,13218.95,,경상남도 김해시 주촌면 주촌선천지구 도시개발구역 30B 8L,,,코스트코 홀세일 김해점,20210416095740,I,2021-04-18 00:22:58.0,대형마트,,,대규모점포,
68,대규모점포,08_25_01_P,3980000,2021398012907500002,20210416,,1,영업/정상,5,영업개시전,,,,,02-6299-7131,0.0,,경기도 구리시 인창동 430 구리유통종합상가,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 (인창동)",11915.0,엘마트 구리점,20210616083446,U,2021-06-18 02:40:00.0,대형마트,212367.118425352,456712.576784184,대규모점포,
69,대규모점포,08_25_01_P,5690000,2018569020007500002,20180706,,1,영업/정상,5,영업개시전,,,,,,11320.61,,세종특별자치시 어진동 521번지 외 1필지,,,KT&G Mall 세종B관,20180706124450,I,2018-08-31 23:59:59.0,그 밖의 대규모점포,222931.318889738,333304.116319079,대규모점포,
70,대규모점포,08_25_01_P,3240000,2014324018907500001,19961212,,1,영업/정상,5,영업개시전,,,,,02-477-1223,10180.74,134871.0,서울특별시 강동구 천호동 410번지 100호,서울특별시 강동구 진황도로 12 (천호동),134871.0,천호코오롱상가,20220120142720,U,2022-01-22 02:40:00.0,그 밖의 대규모점포,211279.030241561,448548.819716671,대규모점포,
71,대규모점포,08_25_01_P,3940000,2022394038807500001,20220810,,1,영업/정상,5,영업개시전,,,,,02-380-5042,1111.32,,경기도 고양시 일산서구 덕이동 373-21,"경기도 고양시 일산서구 하이파크2로 65, 1층 (덕이동)",10231.0,(주)이마트에브리데이 고양덕이점,20220810172748,I,2022-08-12 00:22:28.0,구분없음,178440.320567802,466401.449064464,준대규모점포,
72,대규모점포,08_25_01_P,3740000,2022374039007500002,20220718,,1,영업/정상,5,영업개시전,,,,,031-0000-0000,243.3,,경기도 수원시 팔달구 매산로3가 108-78,경기도 수원시 팔달구 갓매산로 2(매산로3가),16460.0,GS THE FRESH 수원팔달점,20220718100331,I,2022-07-20 00:22:28.0,구분없음,200658.342947362,418222.196991336,준대규모점포,
73,대규모점포,08_25_01_P,3050000,2022305014007500001,20220711,,1,영업/정상,5,영업개시전,,,,,02-721-8286,22467.67,,서울특별시 동대문구 용두동 39-1,,,청량리역 한양수자인 그라시엘 판매시설,20220711130854,I,2022-07-13 00:22:29.0,그 밖의 대규모점포,203728.022004023,452778.965235022,대규모점포,
