사진,제목,가격,소제목,소재지,매물특징,계약/전용면적,해당층/총층,방수/욕실수,월관리비,관리비 포함,입주가능일,융자금,방향,주차가능여부,난방(방식/연료),사용승인일,총세대수,총주차대수,용도지역,건축물 용도,주구조,재건축/재개발,매물번호,매물설명,중개사,공급/전용면적,전세금 반환보증,용도,방구조,복층여부,현관구조,해당면적 세대수,사용검사일,준공인가일
0,당산계룡리슈빌3단지(도시형) 102동저층,"월세5,000/132",동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,저/20층,2/1개,15만원,-,즉시입주 협의가능,없음,동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2245996408,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적수넓음ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료122,290원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동고층,"전세4억 8,000(2,274만원/3.3㎡)",동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,고/20층,2/1개,15만원,-,즉시입주 협의가능,없음,동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2245762553,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적수넓음ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,174,050원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동고층,월세3억/90,동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,고/20층,2/1개,15만원,-,즉시입주 협의가능,없음,동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2245697619,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적수넓음ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료733,780원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동저층,"전세5억(2,369만원/3.3㎡)",남향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,저/20층,2/1개,15만원,-,2023년 02월 중순 협의가능,없음,남향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2244379115,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적넓음21평ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,222,970원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동저층,"월세2억 5,000/90",남서향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,V 상태좋음 V 바로계약되는아파트,,저/20층,2/1개,,,2023년 2월 14일 협의가능,없음,남서향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2245283249,,"반도유보라공인중개사사무소길찾기대표윤지후등록번호92440000-08033소재지서울 영등포구 당산동4가96 반도유보라팰리스 상가동 101호전화02-2069-1722,010-2762-8122최근 3개월  집주인확인 20건매매34전세38월세21단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료611,480원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동고층,"월세2억 5,000/96",남향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,고/20층,2/1개,15만원,-,2023년 03월 중순 협의가능,없음,남향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2242357682,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적수넓음ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료611,480원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동중층,"전세4억 3,000(2,037만원/3.3㎡)",남향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"남향, 신축급 방2 거실, 구조좋은 아파트, 신혼부부 추천, 입주협의",,중/20층,2/1개,12만원,-,즉시입주 ,없음,남향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2243708983,"*지하철 2/5호선 영등포구청역 초역세권
*롯데빅마켇,코스트코,롯데마트, 당산공원 인접
*무료 휘트니스
*넉넉한 자주식 주차공간","삼성래미안공인중개사사무소길찾기대표김경환등록번호92440000-07382소재지서울 영등포구 당산동4가94-1 당산2차삼성아파트 상가201동 106호전화02-2672-5777,010-3528-9378최근 3개월  집주인확인 145건매매20전세65월세47단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,051,760원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동저층,"전세6억(2,842만원/3.3㎡)",남동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,V 상태좋음 V 바로계약되는아파트,,저/20층,2/1개,,,즉시입주 협의가능,없음,남동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2243562234,,"반도유보라공인중개사사무소길찾기대표윤지후등록번호92440000-08033소재지서울 영등포구 당산동4가96 반도유보라팰리스 상가동 101호전화02-2069-1722,010-2762-8122최근 3개월  집주인확인 20건매매34전세38월세21단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,467,570원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동고층,"전세4억 8,000(2,274만원/3.3㎡)",동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"주차굿 헬스장무료 2,5호선3분초더블역세권",,고/20층,2/1개,15만원,-,2023년 02월 중순 협의가능,없음,동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2242071975,"ㅁ2,5호선영등포구청역 도보3분,여의도강남강북공항사통팔달
ㅁ실사용면적수넓음ㅁ발코니ㅁ2룸수납장ㅁ비데ㅁ단지내휘트니스무료
ㅁ주차1대기본 1대추가가능
ㅁ신혼부부들 많이 흡족해 합니다.
ㅁ저희 계룡리슈빌단지내 갤러리부동산에 연락주시면 
ㅁ분양, 매매, 전세, 월세에 대하여 상세한 안내드리겠습니다. ","계룡리슈빌갤러리부동산 공인중개사 사무소톡톡문의길찾기대표양현복등록번호92440000-08493소재지서울 영등포구 당산동3가564 계룡리슈빌 상가 1층전화02-2671-1177,010-2647-4181최근 3개월  집주인확인 63건매매10전세14월세8단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,174,050원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동저층,"전세5억(2,369만원/3.3㎡)",남동향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"신축급 방2 거실, 구조좋은 아파트, 신혼부부 추천, 입주협의",,저/20층,2/1개,12만원,-,즉시입주 ,없음,남동향(거실 기준),,개별난방/도시가스,,,150대(세대당 1대),,,,,2241767338,"*지하철 2/5호선 영등포구청역 초역세권
*롯데빅마켇,코스트코,롯데마트, 당산공원 인접
*무료 휘트니스
*넉넉한 자주식 주차공간","삼성래미안공인중개사사무소길찾기대표김경환등록번호92440000-07382소재지서울 영등포구 당산동4가94-1 당산2차삼성아파트 상가201동 106호전화02-2672-5777,010-3528-9378최근 3개월  집주인확인 145건매매20전세65월세47단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,222,970원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,당산계룡리슈빌3단지(도시형) 102동중층,"전세6억(2,842만원/3.3㎡)",남향역까지 4분 공급/전용 면적:69.79㎡/49.99㎡,,"신축7년차, 방2 거실, 신혼부부 추천",,중/20층,2/1개,,,즉시입주 ,없음,남향(거실 기준),,개별난방/도시가스,,,-(세대당 0대),,,,,2241863976,"
<중개대상물의 표시 · 광고 명시사항 관련정보>
개설등록번호 :92440000-07382
입주가능일 :즉시입주
매물상세지번 :565
방향기준 :거실
건축물용도 :공동주택
사용승인일 :20140313","삼성래미안공인중개사사무소길찾기대표김경환등록번호92440000-07382소재지서울특별시 영등포구 당산동4가 94-1 당산2차삼성아파트 201동 상가106호전화02-2672-5777,010-3528-9378최근 3개월  집주인확인 145건매매20전세65월세47단기0",69.79㎡/49.99㎡(전용률72%),"예상 보증료1,467,570원네이버페이 최대3만원 적립상품 안내",,,,계단식,113세대,,
0,일반원룸 신우빌딩4층,"월세1,000/30",해당층/총층: 4/4층오픈형/단층 전용 면적:18㎡,서울시 영등포구 당산동4가 31-2,주인직접 대로변 매우깔끔하고 착한가격 교통편리 입주협의,,4/4층,1/1개,7만원,"수도, 인터넷, TV",즉시입주 ,없음,서향(안방 기준),불가능,,,,-,,제2종 근린생활시설,,,2245987184,,"화랑공인중개사사무소길찾기대표고재택등록번호92440000-06690소재지서울특별시 영등포구 당산로42길 16(당산동4가, 당산현대5차아파트),상가동 103호전화02-2678-0025,010-9060-5720최근 3개월  집주인확인 63건매매25전세14월세8단기0",18㎡/18㎡(전용률100%),,,오픈형,단층,,,1984.05.01,
0,일반원룸중층,"월세1,000/94",해당층/총층: 중/15층오픈형/복층 전용 면적:16.24㎡,서울시 영등포구 당산동5가 11-32,전입신고 가능한 대로변 역세권 원룸복층,,중/15층,1/1개,12만원,"인터넷, TV",2023년 02월 초순 협의가능,없음,동향(거실 기준),가능,,2021,,40대,,공동주택,,,2244944089,"▶▶소중한 자산을 지키고 만족도 높은 공간만 엄선해드립니다◀◀


★매물특징★

☆ 전입신고 가능한 안전한 권리관계 매물

☆ 9호선 , 2호선 당산역 역세권!

☆ 주변에 각종 마트, 백화점, 음식점, 편의시설 밀집!

☆ 준신축 건물로 시설 깨끗하고 보안설비 완벽!

☆ 풀옵션 구조로 공간 활용도 뛰어난 넓은 분리형 원룸!

☆ 조용한 주택가로 소음, 치안 걱정 NO!



★ 24시 상담 가능합니다★ 
카카오톡 : sbzhf200
☎ 010-3242-6635

──────────────────────────────
☞ 부지런히 발로 뛰며 직접 촬영한 실매물만 보여드리는 써밋부동산입니다
☞ 권리분석부터 입주까지 정직하고 성실하게 중개할 것을 약속드립니다
☞ 원하시는 최적의 공간을 찾아드립니다
☞ 영등포구 최다매물 보유하고 있습니다.



※ 공인중개사법 18조 2,3항에 의거 해당 매물은
최초 게시일 당시 거래 가능한 실매물임을 확인하였으나, 광고 내용을 보는 시점에 거래가 완료되었을 수 있으므로, 거래 완료 여부 및 상세 내용 변동은 가능성이 있습니다.",써밋부동산공인중개사사무소길찾기대표박창현등록번호11560202100195소재지서울특별시 영등포구 당산로28길 16-2전화010-3242-6635최근 3개월  집주인확인 633건매매32전세238월세179단기1,39㎡/16.24㎡(전용률42%),,,오픈형,복층,,,,
0,일반원룸중층,"월세1,000/94",해당층/총층: 중/15층오픈형/복층 전용 면적:16.24㎡,서울시 영등포구 당산동5가 11-32,전입신고 가능한 대로변 역세권 원룸복층,,중/15층,1/1개,12만원,"인터넷, TV",2023년 02월 초순 협의가능,없음,동향(거실 기준),가능,,2021,,40대,,공동주택,,,2244944089,"▶▶소중한 자산을 지키고 만족도 높은 공간만 엄선해드립니다◀◀


★매물특징★

☆ 전입신고 가능한 안전한 권리관계 매물

☆ 9호선 , 2호선 당산역 역세권!

☆ 주변에 각종 마트, 백화점, 음식점, 편의시설 밀집!

☆ 준신축 건물로 시설 깨끗하고 보안설비 완벽!

☆ 풀옵션 구조로 공간 활용도 뛰어난 넓은 분리형 원룸!

☆ 조용한 주택가로 소음, 치안 걱정 NO!



★ 24시 상담 가능합니다★ 
카카오톡 : sbzhf200
☎ 010-3242-6635

──────────────────────────────
☞ 부지런히 발로 뛰며 직접 촬영한 실매물만 보여드리는 써밋부동산입니다
☞ 권리분석부터 입주까지 정직하고 성실하게 중개할 것을 약속드립니다
☞ 원하시는 최적의 공간을 찾아드립니다
☞ 영등포구 최다매물 보유하고 있습니다.



※ 공인중개사법 18조 2,3항에 의거 해당 매물은
최초 게시일 당시 거래 가능한 실매물임을 확인하였으나, 광고 내용을 보는 시점에 거래가 완료되었을 수 있으므로, 거래 완료 여부 및 상세 내용 변동은 가능성이 있습니다.",써밋부동산공인중개사사무소길찾기대표박창현등록번호11560202100195소재지서울특별시 영등포구 당산로28길 16-2전화010-3242-6635최근 3개월  집주인확인 633건매매32전세238월세179단기1,39㎡/16.24㎡(전용률42%),,,오픈형,복층,,,,
0,당산역리버뷰한강 1동11층,"월세1,000/100",북향역까지 1분 계약/전용 면적:30.31㎡/16.78㎡,,당산역 1분거리 한강뷰 전입 가능,30.31㎡/16.78㎡(전용률55%),11/15층,1/1개,,,2023년 1월 16일 협의가능,없음,북향(거실 기준),,개별난방/도시가스,,,103대(세대당 0.50대),,공동주택,,,2245929191,"***귀한 한강뷰~*** 

대출 가능.

◈ 원룸형 복층 전용 5.3평 + 복층 2.7평 총 8평

◈ 에어컨, 냉장고, , 세탁기, 스타일러 등

◈ 다양한 수납공간, 붙박이장 등 ◈

◈ 주차, 엘리베이터, CCTV 등 첨단 시설 설치 ※ 2,9호선 당산역 도보 1분거리 큰 대로변

※ 206세대 대단지로 다양한 편의시설 이용가능 ※ 황금 교통망 : 광역교통망은 9호선과 공항철도 연계 김포공항5
분, 인천공항25분,

※ 강남(종합운동장)진입 30분이며, 마곡지구는 1.5km 상암지구 미디어센터가 3km 거리

※ 올림픽대로와 외곽순환고속도로가 근접하여 강북, 강남, 강동방향으로 이동 편리

***래미안 부동산 연락바랍니다***


◈ 주차, 엘리베이터, CCTV 등 첨단 시설 설치 ※ 2,9호선 당산역 도보 1분거리 큰 대로변

※ 206세대 대단지로 다양한 편의시설 이용가능 ※ 황금 교통망 : 광역교통망은 9호선과 공항철도 연계 김포공항5분, 인천공항25분,

※ 강남(종합운동장)진입 30분이며, 마곡지구는 1.5km 상암지구 미디어센터가 3km 거리

※ 올림픽대로와 외곽순환고속도로가 근접하여 강북, 강남, 강동방향으로 이동 편리

***래미안 부동산 연락바랍니다***","래미안공인중개사사무소길찾기대표유명자등록번호92440000-06298소재지서울특별시 영등포구 당산로 214 당산삼성래미안 상가1동 105-2호 (당산 삼성 래미안)전화02-2672-6400,010-3774-5397최근 3개월  집주인확인 74건매매12전세28월세28단기0",,,주거용,오픈형,복층,복도식,146세대,,
0,당산역리버뷰한강 1동7층,"월세1,000/90",남향역까지 1분 계약/전용 면적:30.31㎡/16.78㎡,,당산역 1분거리 해가 잘드는 귀한 월세,30.31㎡/16.78㎡(전용률55%),7/15층,1/1개,,,2023년 2월 12일 ,없음,남향(거실 기준),,개별난방/도시가스,,,103대(세대당 0.50대),,공동주택,,,2245929015,,"래미안공인중개사사무소길찾기대표유명자등록번호92440000-06298소재지서울특별시 영등포구 당산로 214 당산삼성래미안 상가1동 105-2호 (당산 삼성 래미안)전화02-2672-6400,010-3774-5397최근 3개월  집주인확인 74건매매12전세28월세28단기0",,,주거용,오픈형,복층,복도식,146세대,,
